Time (Hours),Drug Concentration (nM),Beat Rate (BPM),Well data,id
0,Control,20.8572,Control,1
0.5,Control,20.8273,Control,2
3,Control,22.8139,Control,3
24,Control,22.5631,Control,4
36,Control,20.5247,Control,5
48,Control,18.4195,Control,6
72,Control,16.5705,Control,7
96,Control,15.8852,Control,8
120,Control,20.9804,Control,9
144,Control,15.0952,Control,10
0,Control,29.2595,Control,11
0.5,Control,27.6116,Control,12
3,Control,30.9196,Control,13
24,Control,33.2121,Control,14
36,Control,31.0238,Control,15
48,Control,29.5137,Control,16
72,Control,28.796,Control,17
96,Control,27.333,Control,18
120,Control,31.9097,Control,19
144,Control,27.9272,Control,20
0,Control,26.3103,Control,21
0.5,Control,24.8653,Control,22
3,Control,24.8307,Control,23
24,Control,31.9828,Control,24
36,Control,29.0752,Control,25
48,Control,33.2863,Control,26
72,Control,25.7362,Control,27
96,Control,21.2985,Control,28
120,Control,28.9274,Control,29
144,Control,23.9982,Control,30
0,Control,36.8362,Control,31
0.5,Control,34.0599,Control,32
3,Control,42.9211,Control,33
24,Control,40.532,Control,34
36,Control,39.2528,Control,35
48,Control,35.7334,Control,36
72,Control,33.8187,Control,37
96,Control,31.4169,Control,38
120,Control,36.0941,Control,39
144,Control,31.6644,Control,40
0,Control,26.6303,Control,41
0.5,Control,37.3055,Control,42
3,Control,36.5522,Control,43
24,Control,34.1273,Control,44
36,Control,36.0771,Control,45
48,Control,33.2696,Control,46
72,Control,30.4423,Control,47
96,Control,30.5421,Control,48
120,Control,31.1009,Control,49
144,Control,27.3775,Control,50
0,Control,30.7596,Control,51
0.5,Control,34.2498,Control,52
3,Control,33.5046,Control,53
24,Control,29.5529,Control,54
36,Control,27.8153,Control,55
48,Control,24.9871,Control,56
72,Control,22.478,Control,57
96,Control,23.8496,Control,58
120,Control,22.4349,Control,59
144,Control,16.8767,Control,60
0,Control,23.6172,Control,61
0.5,Control,32.8311,Control,62
3,Control,33.0211,Control,63
24,Control,30.0297,Control,64
36,Control,32.7094,Control,65
48,Control,31.3334,Control,66
72,Control,29.3463,Control,67
96,Control,30.5832,Control,68
120,Control,32.0043,Control,69
144,Control,27.1527,Control,70
0,Control,24.9243,Control,71
0.5,Control,25.4887,Control,72
3,Control,32.1316,Control,73
24,Control,32.893,Control,74
36,Control,31.1536,Control,75
48,Control,30.8619,Control,76
72,Control,30.0445,Control,77
96,Control,34.7992,Control,78
120,Control,30.1847,Control,79
144,Control,26.1371,Control,80
0,Control,29.2444,Control,81
0.5,Control,41.7397,Control,82
3,Control,32.9042,Control,83
24,Control,28.8282,Control,84
36,Control,32.5745,Control,85
48,Control,29.7959,Control,86
72,Control,27.3561,Control,87
96,Control,28.0562,Control,88
120,Control,26.7909,Control,89
144,Control,22.7941,Control,90
0,Control,27.9346,Control,91
0.5,Control,29.7599,Control,92
3,Control,29.3172,Control,93
24,Control,27.0717,Control,94
36,Control,,Control,95
48,Control,23.9983,Control,96
72,Control,,Control,97
96,Control,,Control,98
120,Control,,Control,99
144,Control,,Control,100
0,Control,16.8081,Control,101
0.5,Control,23.5033,Control,102
3,Control,25.8274,Control,103
24,Control,25.8706,Control,104
36,Control,,Control,105
48,Control,23.2785,Control,106
72,Control,,Control,107
96,Control,,Control,108
120,Control,,Control,109
144,Control,,Control,110
0,Control,15.3758,Control,111
0.5,Control,20.9443,Control,112
3,Control,21.2642,Control,113
24,Control,24.3847,Control,114
36,Control,,Control,115
48,Control,21.3173,Control,116
72,Control,,Control,117
96,Control,,Control,118
120,Control,,Control,119
144,Control,,Control,120
0,Control,16.7865,Control,121
0.5,Control,23.3581,Control,122
3,Control,24.9525,Control,123
24,Control,25.0285,Control,124
36,Control,,Control,125
48,Control,21.6352,Control,126
72,Control,,Control,127
96,Control,,Control,128
120,Control,,Control,129
144,Control,,Control,130
0,Control,20.0936,Control,131
0.5,Control,27.244,Control,132
3,Control,28.5615,Control,133
24,Control,27.9918,Control,134
36,Control,,Control,135
48,Control,24.7645,Control,136
72,Control,,Control,137
96,Control,,Control,138
120,Control,,Control,139
144,Control,,Control,140
0,Control,18.174,Control,141
0.5,Control,24.5616,Control,142
3,Control,24.9492,Control,143
24,Control,26.3819,Control,144
36,Control,,Control,145
48,Control,23.1526,Control,146
72,Control,,Control,147
